"Address","Status","List","SuggestedOffer","Score","Beds","Baths","Sqft","DOM","Agent","Phone","Email","Brokerage","Signals","OfferText","ListingURL"
"1130 Trowbridge Dr, Houston, TX 77062","Foreclosed","268900","161500","50","4","2.5","2635","490","","","","","foreclosed/public record, 60+ days on Zillow, low price/sqft","Hello, I’m checking on 1130 Trowbridge Dr. Is it still available? I’m a cash investor and can buy as-is with no seller repairs needed. Since it looks like a foreclosure/REO-type opportunity, I wanted to see if offers are being reviewed now. If the property is still available, would an offer around $161,500 be worth discussing?","https://www.zillow.com/homedetails/1130-Trowbridge-Dr-Houston-TX-77062/28249797_zpid/"
"13003 Foxburo Dr, Houston, TX 77065","For sale by owner","268900","177500","50","3","2","1599","63","","","","","FSBO, price change/reduction, 60+ days on Zillow","Hello, I’m checking on 13003 Foxburo Dr. Is it still available? I’m interested in an as-is cash purchase and can close quickly if the numbers work. I can work directly and keep the process simple if the seller is open to a cash offer. If the property is still available, would an offer around $177,500 be worth discussing?","https://www.zillow.com/homedetails/13003-Foxburo-Dr-Houston-TX-77065/28176979_zpid/"
"3247 S Greenpark Dr, Houston, TX 77082","For sale by owner","255000","168500","50","3","2","1800","65","","","","","FSBO, price change/reduction, 60+ days on Zillow","Hi, is 3247 S Greenpark Dr still available? I’m a cash investor and can buy as-is with no seller repairs needed. I can work directly and keep the process simple if the seller is open to a cash offer. Would the seller consider something around $168,500, subject to walkthrough/inspection?","https://www.zillow.com/homedetails/3247-S-Greenpark-Dr-Houston-TX-77082/28374825_zpid/"
"3427 Walhalla Dr, Houston, TX 77066","Foreclosed","235500","141500","50","3","2","1948","459","","","","","foreclosed/public record, 60+ days on Zillow, low price/sqft","Good afternoon, is 3427 Walhalla Dr still available? I’m a cash investor and can buy as-is with no seller repairs needed. Since it looks like a foreclosure/REO-type opportunity, I wanted to see if offers are being reviewed now. If the property is still available, would an offer around $141,500 be worth discussing?","https://www.zillow.com/homedetails/3427-Walhalla-Dr-Houston-TX-77066/28387681_zpid/"
"7539 Wildwood Brook Ct, Houston, TX 77095","Foreclosed","281300","174500","50","4","2.5","2560","146","","","","","foreclosed/public record, 60+ days on Zillow, low price/sqft","Hi, I’m checking on 7539 Wildwood Brook Ct. Is it still available? I’m looking for a simple cash/as-is purchase with flexible closing. Since it looks like a foreclosure/REO-type opportunity, I wanted to see if offers are being reviewed now. If the property is still available, would an offer around $174,500 be worth discussing?","https://www.zillow.com/homedetails/7539-Wildwood-Brook-Ct-Houston-TX-77095/28499218_zpid/"
"5426 Bungalow Ln, Houston, TX 77048","For sale by owner","210000","143000","45","3","3","2300","83","","","","","FSBO, 60+ days on Zillow, low price/sqft","Hello, I’m checking on 5426 Bungalow Ln. Is it still available? I’m a cash investor and can buy as-is with no seller repairs needed. I can work directly and keep the process simple if the seller is open to a cash offer. If the property is still available, would an offer around $143,000 be worth discussing?","https://www.zillow.com/homedetails/5426-Bungalow-Ln-Houston-TX-77048/28104250_zpid/"
"5519 Cannonway Dr, Houston, TX 77032","For sale by owner","199900","136000","45","3","2","1864","79","","","","","FSBO, 60+ days on Zillow, low price/sqft","Hi, is 5519 Cannonway Dr still available? I’m interested in an as-is cash purchase and can close quickly if the numbers work. I can work directly and keep the process simple if the seller is open to a cash offer. Would you be open to discussing a cash offer near $136,000, pending final review?","https://www.zillow.com/homedetails/5519-Cannonway-Dr-Houston-TX-77032/28078016_zpid/"
"0 Clover Rdg, Houston, TX 77087","For sale by owner","84000","54500","40","","0","","53","","","","","FSBO, price change/reduction","Hello, I’m checking on 0 Clover Rdg. Is it still available? I’m looking for a simple cash/as-is purchase with flexible closing. I can work directly and keep the process simple if the seller is open to a cash offer. Would you be open to discussing a cash offer near $54,500, pending final review?","https://www.zillow.com/homedetails/0-Clover-Rdg-Houston-TX-77087/461970170_zpid/"
"1125 Defender St, Houston, TX 77029","Foreclosed","60000","35500","40","3","1","1898","43","","","","","foreclosed/public record, low price/sqft","Hi, I’m checking on 1125 Defender St. Is it still available? I’m interested in an as-is cash purchase and can close quickly if the numbers work. Since it looks like a foreclosure/REO-type opportunity, I wanted to see if offers are being reviewed now. Would you be open to discussing a cash offer near $35,500, pending final review?","https://www.zillow.com/homedetails/1125-Defender-St-Houston-TX-77029/27891516_zpid/"
"11918 Holly Stone Dr, Houston, TX 77070","Foreclosed","265400","164500","40","4","2","2332","28","","","","","foreclosed/public record, low price/sqft","Hello, wanted to ask if 11918 Holly Stone Dr is still available. I’m a cash investor and can buy as-is with no seller repairs needed. Since it looks like a foreclosure/REO-type opportunity, I wanted to see if offers are being reviewed now. Would the seller consider something around $164,500, subject to walkthrough/inspection?","https://www.zillow.com/homedetails/11918-Holly-Stone-Dr-Houston-TX-77070/28188366_zpid/"
